w8	Id(x1:M8)
1.000000000000000e-06	1.225627e-11
2.000000000000000e-06	5.252642e-06
3.000000000000000e-06	2.760233e-05
4.000000000000000e-06	5.308477e-05
5.000000000000000e-06	7.921486e-05
5.999999999999999e-06	1.055552e-04
6.999999999999999e-06	1.318842e-04
8.000000000000000e-06	1.579582e-04
9.000000000000000e-06	1.831668e-04
1.000000000000000e-05	2.061213e-04
1.100000000000000e-05	2.273827e-04
1.200000000000000e-05	2.478332e-04
1.300000000000000e-05	2.677700e-04
1.400000000000000e-05	2.872703e-04
1.500000000000000e-05	3.063244e-04
1.600000000000000e-05	3.249056e-04
1.700000000000000e-05	3.429962e-04
1.800000000000000e-05	3.605917e-04
1.900000000000000e-05	3.776960e-04
2.000000000000000e-05	3.943170e-04
